gx,gy,n_violations,n_days_active,road_class,poi_demand,severity,criticality,lat,lon,top_station,peak_hour,dominant_poi,name,CIS,CIS_rank
17239,2880,7507,151,1.537032103370188,0.9948048488077794,1.3705874517117358,1.5048088450779273,12.96377156955796,77.57730956075241,City Market,0,poi_market,BTP082 - KR Market Junction,65.18551062154376,1
17234,2891,3694,149,1.887926367081754,0.9128316188413643,1.3841905793178126,1.3798050893340552,13.011858660097456,77.55433618197077,Malleshwaram,9,poi_mall,80 Feet Ring Road,62.86999157917757,2
17239,2881,4003,146,1.0856857356982264,0.9822633025231077,1.165975518361229,1.4655008743442417,12.965479038050722,77.57702628239475,City Market,9,poi_market,BTP082 - KR Market Junction,58.542078922304775,3
17233,2888,6107,151,2.905518257737023,0.001473718683477976,1.165072867201572,1.434616014409694,12.998923681363646,77.55005113127142,Rajajinagar,8,poi_hospital,BTP027 - Modi Bridge Junction,56.31607594222757,4
17238,2888,1652,143,1.1192493946731235,0.9794188861985472,1.3668280871670702,1.391585956416465,12.99891319265852,77.57142622071083,Malleshwaram,10,poi_mall,Sri Venkataranga Ayangar Road,56.25464855723268,5
17238,2890,2247,132,1.1951490876724522,0.9830885625278148,1.3510458388963063,1.3921673342234089,13.007076967245217,77.57117164134401,Malleshwaram,10,poi_mall,Sri Venkataranga Ayangar Road,56.0703722809253,6
17265,2875,1806,108,2.6608527131782944,0.0,1.5832225913621263,2.2967884828349945,12.939663473043419,77.69562433761578,HAL Old Airport,8,none,Kadubeesanahalli Underpass,55.01675805327613,7
17237,2890,1585,119,1.4542586750788644,0.9873817034700315,1.3130599369085172,1.324353312302839,13.006556181072554,77.56952568056782,Malleshwaram,7,poi_mall,15th Cross Road,54.24117668073137,8
17232,2883,5124,135,1.2491217798594847,0.7355581576893052,1.0468188914910226,1.4002927400468383,12.974599337160402,77.54565224199563,Vijayanagara,4,poi_metro,BTP020 - Hosahalli Metro Station,53.89549218943092,9
17264,2874,6883,101,1.208702600610199,0.7801830597123347,1.1167368879848902,1.691021356966439,12.93397216783416,77.69090904942891,HAL Old Airport,4,poi_school,New Horizon College Road,53.37329366314081,10
