cell,name,lat,lon,top_station,CIS,CIS_rank,n_violations,road_class,dominant_poi,peak_hour,demand_index,blind_spot,reliable,devices,evening_share,observed,archetype,intervention
17239_2880,BTP082 - KR Market Junction,12.96377156955796,77.57730956075241,City Market,65.18551062154376,1,7507,1.537032103370188,poi_market,0,86.28735632183908,41.281406230971896,True,85,0.1285466897562275,7507,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17234_2891,80 Feet Ring Road,13.011858660097456,77.55433618197077,Malleshwaram,62.86999157917757,2,3694,1.887926367081754,poi_mall,9,59.58064516129032,49.48262259760072,True,60,0.0002707092582566,3694,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17239_2881,BTP082 - KR Market Junction,12.965479038050722,77.57702628239475,City Market,58.542078922304775,3,4003,1.0856857356982264,poi_market,9,58.01449275362319,43.727070080225175,True,67,0.0269797651761179,4003,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17233_2888,BTP027 - Modi Bridge Junction,12.998923681363646,77.55005113127142,Rajajinagar,56.31607594222757,4,6107,2.905518257737023,poi_hospital,8,44.90441176470589,34.52346758469315,True,134,0.0009824791223186,6107,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17238_2888,Sri Venkataranga Ayangar Road,12.99891319265852,77.57142622071083,Malleshwaram,56.25464855723268,5,1652,1.1192493946731237,poi_mall,10,32.3921568627451,46.72974702288632,True,49,0.0,1652,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17238_2890,Sri Venkataranga Ayangar Road,13.007076967245215,77.57117164134401,Malleshwaram,56.0703722809253,6,2247,1.1951490876724522,poi_mall,10,48.84782608695652,47.86762364107232,True,44,0.0,2247,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17265_2875,Kadubeesanahalli Underpass,12.93966347304342,77.69562433761578,HAL Old Airport,55.01675805327613,7,1806,2.6608527131782944,none,8,41.04545454545455,47.51471662713232,True,42,0.0,1806,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17237_2890,15th Cross Road,13.006556181072554,77.56952568056782,Malleshwaram,54.24117668073137,8,1585,1.4542586750788644,poi_mall,7,36.02272727272727,46.84489291447261,True,42,0.0,1585,CBD car parking,Occupancy-responsive paid parking (SFpark-style) + clear signage
17232_2883,BTP020 - Hosahalli Metro Station,12.974599337160402,77.54565224199563,Vijayanagara,53.89549218943092,9,5124,1.2491217798594847,poi_metro,4,76.4776119402985,41.4873359958129,True,65,0.0003903200624512,5124,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17264_2874,New Horizon College Road,12.93397216783416,77.69090904942891,HAL Old Airport,53.37329366314081,10,6883,1.208702600610199,poi_school,4,146.4468085106383,45.30876364107972,True,45,0.0,6883,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17237_2888,Siddavanahalli Krishna Sharma Road,12.998560752580929,77.56934813455818,Malleshwaram,53.027417430441325,11,1143,1.3398950131233596,poi_mall,11,31.75,48.18200315790528,True,34,0.0,1143,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17232_2888,BTP205 - Modi Hospital Junction,12.997649004319618,77.547286470147,Vijayanagara,52.2761853295904,12,1193,1.433780385582565,poi_hospital,7,20.220338983050848,41.702529687140206,True,57,0.0008382229673093,1193,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17270_2879,ITPL Main Road,12.958065738327104,77.7159797783287,HAL Old Airport,52.27384639782107,13,582,1.868556701030928,poi_techpark,5,15.31578947368421,46.862511454213305,True,36,0.0,582,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17239_2879,BTP104 - Medical College Circle,12.958888332348112,77.57703226792556,City Market,52.051356660554205,14,1827,1.2681992337164751,poi_school,11,39.71739130434783,44.41908269096804,True,44,0.0005473453749315,1827,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
17239_2883,BTP040 - Elite Junction,12.976285702363008,77.57740168818496,Upparpet,51.61397593547535,15,17647,1.5537768459228198,poi_school,9,205.19767441860463,36.87736626653939,True,84,0.0003966679888932,17647,Two-wheeler spillover,Add two-wheeler parking supply; mark legal bays near transit/markets
17238_2881,"BTP083 - AS Char Street, Mysore Road",12.96645193367329,77.57446479043875,Chamarajpet,50.81607551147314,16,2826,1.6675513092710543,poi_market,1,32.11363636363637,34.19662481444598,True,86,0.0598018400566171,2826,Footpath / main-road encroachment,Physical deterrents (bollards/chains) + sustained pedestrian-priority enforcement
17238_2870,"BTP115 - Sahasra Hospital, Jayanagar",12.91708027401245,77.573524368663,Banashankari,50.65728674111168,17,532,1.8900375939849623,poi_transit,3,17.161290322580644,47.73486505862068,True,29,0.0,532,Commercial / loading corridor,Designated timed loading bays + off-peak delivery windows; enforce during peak
