plate,prior_count,days_since_last,mean_gap,distinct_cells,mean_severity,target,risk,likely_location,expected_days_to_next
FKN00GL4424,51,0.8404398148148148,2.094236111111111,1,1.0,1,0.9999995747554195,No Junction,2.094236111111111
FKN00GL17863,40,24.62446759259259,2.154184472934473,2,1.5,1,0.9999832850272565,BTP040 - Elite Junction,2.154184472934473
FKN00GL3514,37,11.405023148148148,2.7498456790123456,1,1.5,1,0.9999714479127149,BTP051 - Safina Plaza Junction,2.7498456790123456
FKN00GL14092,34,5.800162037037037,3.0293560606060606,1,1.0,0,0.9999276103990489,No Junction,3.0293560606060606
FKN00GL9771,33,0.9119675925925926,3.4645182291666665,3,1.5,1,0.9998856477611007,BTP058 - Subbanna Junction,3.4645182291666665
FKN00GL15265,32,13.842523148148148,3.088530465949821,1,1.0,0,0.9998529891652966,BTP040 - Elite Junction,3.088530465949821
FKN00GL2906,31,2.8758564814814815,3.019722222222222,1,1.5,1,0.9998482755668217,"BTP170 - Dr. Bheem Rao Palace, Chord Road",3.019722222222222
FKN00GL9852,26,8.564050925925926,4.074277777777778,1,1.5,1,0.9992749352609667,BTP051 - Safina Plaza Junction,4.074277777777778
FKN00GL1875,26,0.5786342592592593,4.36375,2,1.0,1,0.9991373331383931,BTP051 - Safina Plaza Junction,4.36375
FKN00GL2819,24,2.830023148148148,3.5208333333333335,1,1.0,0,0.9986320059934253,BTP042 - Minsk Square Junction (CTO),3.5208333333333335
FKN00GL25480,24,7.945995370370371,4.259420289855073,1,1.0,0,0.9985381911960965,BTP040 - Elite Junction,4.259420289855073
FKN00GL9526,23,2.8321064814814814,4.3590277777777775,1,1.0,0,0.9981669703756115,BTP042 - Minsk Square Junction (CTO),4.3590277777777775
FKN00GL1118,23,1.568912037037037,4.599747474747475,2,1.5,1,0.9980955275206489,"BTP026 - 1st Block Junction, Rajajinagar",4.599747474747475
FKN00GL9182,23,1.8022453703703705,4.679450757575758,2,1.0,1,0.9978586524506776,BTP027 - Modi Bridge Junction,4.679450757575758
FKN00GL12732,23,11.549467592592592,4.45530303030303,2,1.5,0,0.9978103104990503,BTP051 - Safina Plaza Junction,4.45530303030303
FKN00GL6443,23,19.555717592592593,0.7233585858585858,1,1.0,0,0.9976327863581118,No Junction,0.7233585858585858
FKN00GL8564,22,2.5196064814814814,4.905257936507937,1,1.0,1,0.9975503293058844,BTP051 - Safina Plaza Junction,4.905257936507937
FKN00GL1175,22,4.634884259259259,5.0599537037037035,2,1.5,1,0.9973312306066777,BTP058 - Subbanna Junction,5.0599537037037035
